CATEGORY,SHORT_DESCRIPTION,SUMMARY,OCI_DOC_URL,USE_CASE,PERSONA,VERSION,LAST_UPDATED_DATE,KEY_FEATURES
Performance Tuning,OCI Performance Tuning - Load Balancer Tuning,Guide to configuring load balancers for optimal performance in OCI.,https://docs.oracle.com/en-us/iaas/Content/Network/Tasks/lbtuning.htm,"Traffic management, High availability",DevOps Engineer,v1.1,10-Jul-24 12.00.00.00 AM,Dynamic balancing; Health checks; Performance metrics
Performance Tuning,OCI Performance Tuning - Memory Optimization,Documentation on optimizing memory usage for OCI Compute and Database services.,https://docs.oracle.com/en-us/iaas/Content/Compute/Tasks/memoryoptimization.htm,"Efficient resource utilization, Cost savings",Cloud Administrator,v1.0,05-Jun-24 12.00.00.00 AM,Memory allocation; Tuning parameters; Resource monitoring
Performance Tuning,OCI Performance Tuning - Autoscaling Policies,Guide to setting up effective autoscaling policies for performance tuning in OCI.,https://docs.oracle.com/en-us/iaas/Content/Compute/Tasks/autoscalingpolicies.htm,"Dynamic scaling, Cost optimization",DevOps Engineer,v1.2,01-May-24 12.00.00.00 AM,Policy configuration; Metrics thresholds; Automated scaling
Performance Tuning,OCI Performance Tuning - Application Performance Monitoring,Documentation on using OCI tools to monitor and optimize application performance.,https://docs.oracle.com/en-us/iaas/Content/Management/Tasks/apm.htm,"Application diagnostics, Performance improvements",Application Developer,v1.0,15-Apr-24 12.00.00.00 AM,Real-time metrics; Dashboards; Alerts
Performance Tuning,OCI Performance Tuning - End-to-End Optimization,Comprehensive guide to end-to-end performance optimization across OCI services.,https://docs.oracle.com/en-us/iaas/Content/Performance/Tasks/e2eoptimization.htm,"System-wide tuning, Enterprise performance",Enterprise Architect,v1.0,30-Mar-24 12.00.00.00 AM,Cross-service integration; Benchmarking; Optimization frameworks
Compute,OCI Compute - Virtual Machine Instances,Detailed guide on provisioning and managing VM instances in OCI.,https://docs.oracle.com/en-us/iaas/Content/Compute/Concepts/computeoverview.htm,"Deploy web applications, databases on VMs",Cloud Engineer,Gen2,01-Dec-24 12.00.00.00 AM,Scalability; Performance; Security
Compute,OCI Compute - Bare Metal Servers,Documentation for configuring and using bare metal servers in OCI.,https://docs.oracle.com/en-us/iaas/Content/Compute/Tasks/baremetalservers.htm,"High performance computing, OLTP workloads",IT Architect,Gen2,15-Nov-24 12.00.00.00 AM,Dedicated hardware; No hypervisor overhead
Compute,OCI Compute - Container Instances,Guide to deploying containerized applications on OCI Compute.,https://docs.oracle.com/en-us/iaas/Content/Compute/Tasks/containerinstances.htm,"Microservices deployment, DevOps workflows",DevOps Engineer,v1.5,20-Oct-24 12.00.00.00 AM,Fast scaling; Integrated orchestration
Compute,OCI Compute - GPU Instances,Reference for GPU-enabled compute instances for AI and graphics workloads.,https://docs.oracle.com/en-us/iaas/Content/Compute/Tasks/gpuinstances.htm,"Machine learning, Video rendering",Data Scientist,v2.0,30-Sep-24 12.00.00.00 AM,High performance GPUs; Optimized drivers
Compute,OCI Compute - Autoscaling,Documentation on setting up autoscaling for OCI compute resources.,https://docs.oracle.com/en-us/iaas/Content/Compute/Tasks/autoscalinginstancepools.htm,"Dynamic workload management, Cost optimization",Cloud Operations,v1.0,25-Aug-24 12.00.00.00 AM,Automatic scaling; Policy-driven
Compute,OCI Compute - Instance Configuration,Guide for creating and managing instance configurations in OCI.,https://docs.oracle.com/en-us/iaas/Content/Compute/Tasks/instanceconfig.htm,Template creation for rapid deployments,System Administrator,v1.2,18-Jul-24 12.00.00.00 AM,Reusable templates; Simplified management
Compute,OCI Compute - Fault Domains,Overview of fault domains for improved high availability in OCI Compute.,https://docs.oracle.com/en-us/iaas/Content/Compute/Concepts/faultdomains.htm,High availability architectures,Enterprise Architect,v2.1,05-Jun-24 12.00.00.00 AM,Isolation; Redundancy; Availability
Compute,OCI Compute - API and CLI Tools,Guide to using OCI Compute API and CLI for automation.,https://docs.oracle.com/en-us/iaas/Content/API/Concepts/overview.htm#Compute,"Automation, Scripting",DevOps Engineer,v3.0,10-May-24 12.00.00.00 AM,RESTful API; CLI support
Compute,OCI Compute - Network Configuration,Documentation for integrating compute instances with OCI networking.,https://docs.oracle.com/en-us/iaas/Content/Network/Concepts/compute_network.htm,"Securing compute instances, VCN integration",Network Engineer,v1.8,15-Apr-24 12.00.00.00 AM,VCN integration; Security lists; Subnets
Compute,OCI Compute - Lifecycle Management,Instructions on managing the lifecycle of compute instances.,https://docs.oracle.com/en-us/iaas/Content/Compute/Tasks/lifecycle.htm,"Deployment automation, Instance termination",Cloud Administrator,v1.0,30-Mar-24 12.00.00.00 AM,Lifecycle events; State management
Database,OCI Database - Autonomous Database Overview,Guide on Oracle Autonomous Database services for transaction processing and analytics.,https://docs.oracle.com/en-us/iaas/Content/Database/Concepts/adb_overview.htm,"Automated database management, scalability",Database Administrator,v21c,05-Dec-24 12.00.00.00 AM,Automation; Self-tuning; Self-patching
Database,OCI Database - Exadata Database Service,"Documentation for Oracle Exadata on OCI, providing high performance database infrastructure.",https://docs.oracle.com/en-us/iaas/Content/Database/Concepts/exadata.htm,"High performance OLTP, Data Warehousing",DB Architect,X11M,20-Nov-24 12.00.00.00 AM,High performance; Scalability; Fault tolerance
Database,OCI Database - MySQL Database Service,Overview of MySQL Database Service on OCI for open source database solutions.,https://docs.oracle.com/en-us/iaas/Content/Database/Concepts/mysqloverview.htm,"Web applications, Open source solutions",Web Developer,v8.0,15-Oct-24 12.00.00.00 AM,Managed MySQL; Scalability; Security
Database,OCI Database - Database Migration,Guide for migrating on-premises databases to Oracle Cloud Infrastructure.,https://docs.oracle.com/en-us/iaas/Content/Database/Tasks/migrate.htm,"Cloud migration, Data consolidation",Migration Specialist,v2.3,10-Sep-24 12.00.00.00 AM,Migration tools; Data replication; Minimal downtime
Database,OCI Database - Backup and Recovery,Documentation on backup strategies and recovery solutions for OCI Databases.,https://docs.oracle.com/en-us/iaas/Content/Database/Tasks/backuprecovery.htm,"Disaster recovery, Data protection",IT Operations,v1.5,25-Aug-24 12.00.00.00 AM,Automated backups; Recovery options; Encryption
Database,OCI Database - Oracle RAC,Overview of Oracle Real Application Clusters (RAC) for high availability.,https://docs.oracle.com/en-us/iaas/Content/Database/Concepts/oraclerac.htm,"High availability, Scalability",Enterprise DBA,v12c,30-Jul-24 12.00.00.00 AM,Clustering; Load balancing; Redundancy
Database,OCI Database - Security and Compliance,Guide for securing OCI Database deployments and ensuring compliance.,https://docs.oracle.com/en-us/iaas/Content/Database/Concepts/security.htm,"Regulatory compliance, Data security",Security Analyst,v1.0,15-Jun-24 12.00.00.00 AM,Encryption; Access controls; Auditing
Database,OCI Database - Performance Optimization,Documentation for tuning and optimizing database performance in OCI.,https://docs.oracle.com/en-us/iaas/Content/Database/Tasks/performance.htm,Database performance tuning,Database Performance Engineer,v2.0,05-May-24 12.00.00.00 AM,Indexing; Query optimization; Resource management
Database,OCI Database - Data Warehousing,Overview of data warehousing solutions on Oracle Cloud Infrastructure.,https://docs.oracle.com/en-us/iaas/Content/Database/Concepts/datawarehouse.htm,"Business analytics, Reporting",Data Analyst,v3.0,20-Apr-24 12.00.00.00 AM,Scalability; Analytics; Integration
Database,OCI Database - SQL Developer Tools,Guide to using Oracle SQL Developer with OCI Databases for development and management.,https://docs.oracle.com/en-us/iaas/Content/Database/Tasks/sqldeveloper.htm,"Database development, Administration",Database Developer,v21.4,28-Mar-24 12.00.00.00 AM,IDE integration; Query tools; Debugging
Multicloud,Oracle Database@AWS Overview,Documentation for deploying Oracle Database on AWS through OCI integration.,https://docs.oracle.com/en-us/iaas/Content/Database/Concepts/dbataws.htm,"Hybrid cloud, Cloud migration",Cloud Architect,v1.0,10-Dec-24 12.00.00.00 AM,Integration with AWS; Performance tuning; High availability
Multicloud,Oracle Database@Azure Overview,Guide for deploying Oracle Database on Microsoft Azure via OCI.,https://docs.oracle.com/en-us/iaas/Content/Database/Concepts/dbatazure.htm,"Enterprise cloud, Scalability",Enterprise Architect,v1.1,22-Nov-24 12.00.00.00 AM,Seamless integration with Azure; Security; Compliance
Multicloud,Oracle Database@Google Cloud Overview,Documentation for running Oracle Database on Google Cloud Platform integrated with OCI.,https://docs.oracle.com/en-us/iaas/Content/Database/Concepts/dbatgcp.htm,"Analytics, Big data processing",Data Engineer,v1.0,30-Oct-24 12.00.00.00 AM,Cloud-native; Scalability; Cost efficiency
Multicloud,Oracle Exadata on AWS,Detailed guide for deploying Oracle Exadata in AWS environments.,https://docs.oracle.com/en-us/iaas/Content/Database/Tasks/exadataaws.htm,High performance databases in AWS,DB Architect,X11M,15-Sep-24 12.00.00.00 AM,Bare metal performance; Scalability; High throughput
Multicloud,Oracle Autonomous Database on Azure,Overview of running Autonomous Database services on Microsoft Azure.,https://docs.oracle.com/en-us/iaas/Content/Database/Concepts/adbazure.htm,"Cloud migration, SaaS integration",Cloud Administrator,v21c,30-Aug-24 12.00.00.00 AM,Automation; Self-management; Security
Multicloud,Oracle Database Migration to GCP,Documentation for migrating Oracle Databases to Google Cloud Platform using OCI tools.,https://docs.oracle.com/en-us/iaas/Content/Database/Tasks/dbatgcpmigration.htm,"Cloud migration, Cost optimization",Migration Specialist,v2.0,25-Jul-24 12.00.00.00 AM,Minimal downtime; Data replication; Automation
Multicloud,Oracle Multicloud Best Practices,"Guide to best practices for managing Oracle databases across AWS, Azure, and GCP.",https://docs.oracle.com/en-us/iaas/Content/Multicloud/bestpractices.htm,"Multi-cloud management, Cost control",Cloud Operations Manager,v1.0,20-Jun-24 12.00.00.00 AM,Unified management; Security; Compliance
Multicloud,Oracle Cloud Integration for Multicloud Deployments,Documentation on integrating OCI services with other public cloud providers.,https://docs.oracle.com/en-us/iaas/Content/Multicloud/integration.htm,"Interoperability, Data synchronization",Integration Engineer,v1.2,15-May-24 12.00.00.00 AM,APIs; Connectivity; Data flow
Multicloud,Oracle Database Security in Multicloud,"Guide for securing Oracle databases deployed across AWS, Azure, and GCP.",https://docs.oracle.com/en-us/iaas/Content/Multicloud/security.htm,"Security compliance, Risk mitigation",Security Engineer,v1.0,10-Apr-24 12.00.00.00 AM,Encryption; Access controls; Monitoring
Multicloud,Oracle Licensing in a Multicloud Environment,Documentation covering Oracle licensing considerations for multicloud deployments.,https://docs.oracle.com/en-us/iaas/Content/Multicloud/licensing.htm,"Cost management, Compliance",IT Financial Analyst,v1.0,30-Mar-24 12.00.00.00 AM,Flexible licensing; Cost transparency; Guidelines
Network,OCI Networking Overview,Documentation on OCI Virtual Cloud Networks and basic networking concepts.,https://docs.oracle.com/en-us/iaas/Content/Network/Concepts/overview.htm,"VCN setup, Connectivity",Network Engineer,v2.0,08-Dec-24 12.00.00.00 AM,Subnets; Routing; Security lists
Network,OCI Networking - FastConnect,Guide to configuring FastConnect for private connectivity.,https://docs.oracle.com/en-us/iaas/Content/Network/Tasks/fastconnect.htm,"Dedicated connectivity, Hybrid cloud",Cloud Architect,v1.0,28-Nov-24 12.00.00.00 AM,Private connection; High bandwidth; Low latency
Network,OCI Networking - Load Balancing,Documentation for OCI Load Balancer service for distributing traffic.,https://docs.oracle.com/en-us/iaas/Content/Network/Concepts/loadbalancer.htm,"High availability, Traffic distribution",Systems Engineer,v1.5,10-Oct-24 12.00.00.00 AM,Scalability; Fault tolerance; SSL termination
Network,OCI Networking - DNS Services,Guide on configuring DNS services in OCI for domain management.,https://docs.oracle.com/en-us/iaas/Content/Network/Tasks/dns.htm,"Domain management, Traffic routing",IT Administrator,v1.0,15-Sep-24 12.00.00.00 AM,Zone management; Record types; Integration with FastConnect
Network,OCI Networking - Security Lists and Rules,Documentation on setting up security rules and lists in OCI networks.,https://docs.oracle.com/en-us/iaas/Content/Network/Tasks/securityrules.htm,"Network security, Access control",Security Analyst,v1.3,20-Aug-24 12.00.00.00 AM,Firewall rules; ACLs; Port configurations
Network,OCI Networking - Virtual Cloud Network Design,Guide to designing and optimizing VCN architecture in OCI.,https://docs.oracle.com/en-us/iaas/Content/Network/Tasks/vcn-design.htm,"Network architecture, Multi-tier design",Network Architect,v2.1,05-Jul-24 12.00.00.00 AM,Scalability; Isolation; Redundancy
Network,OCI Networking - VPN Connect,Documentation for setting up VPN Connect for secure remote access.,https://docs.oracle.com/en-us/iaas/Content/Network/Tasks/vpnconnect.htm,"Remote access, Secure connectivity",IT Security,v1.0,15-Jun-24 12.00.00.00 AM,Encryption; Tunneling; Compatibility
Network,OCI Networking - Network Load Balancer,Guide on configuring Network Load Balancer for high performance.,https://docs.oracle.com/en-us/iaas/Content/Network/Tasks/nlb.htm,"Load balancing, High throughput",DevOps Engineer,v1.2,12-May-24 12.00.00.00 AM,Layer 4 balancing; High availability; Low latency
Network,OCI Networking - Transit Routing,Overview of transit routing and dynamic routing in OCI networks.,https://docs.oracle.com/en-us/iaas/Content/Network/Concepts/transitrouting.htm,"Inter-VCN connectivity, Centralized routing",Network Engineer,v1.0,18-Apr-24 12.00.00.00 AM,Centralized routing; Dynamic updates; Scalability
Network,OCI Networking - Edge Services,Documentation for OCI Edge Services to optimize user experience.,https://docs.oracle.com/en-us/iaas/Content/Network/Concepts/edgeservices.htm,"Content delivery, Reduced latency",IT Operations Manager,v1.0,30-Mar-24 12.00.00.00 AM,CDN integration; Caching; Global reach
Storage,OCI Storage - Object Storage Overview,Guide to OCI Object Storage for storing unstructured data.,https://docs.oracle.com/en-us/iaas/Content/Object/Concepts/objectstorageoverview.htm,"Backup, Archiving, Big Data",Data Engineer,v2.0,12-Dec-24 12.00.00.00 AM,Scalability; Durability; Accessibility
Storage,OCI Storage - Block Volumes,Documentation on provisioning and managing block storage volumes.,https://docs.oracle.com/en-us/iaas/Content/Block/Concepts/blockvolumes.htm,"Database storage, Application storage",System Administrator,v1.8,30-Nov-24 12.00.00.00 AM,High performance; Consistent I/O; Scalability
Storage,OCI Storage - File Storage Service,Guide to using OCI File Storage for shared file systems.,https://docs.oracle.com/en-us/iaas/Content/File/Concepts/filestorageoverview.htm,"Enterprise file sharing, Home directories",IT Manager,v1.0,25-Oct-24 12.00.00.00 AM,Scalable; High availability; POSIX compliant
Storage,OCI Storage - Archive Storage,Overview of cost-effective archive storage solutions in OCI.,https://docs.oracle.com/en-us/iaas/Content/Archive/Concepts/archivestorage.htm,"Long-term data retention, Backup",Data Compliance Officer,v1.0,20-Sep-24 12.00.00.00 AM,Low cost; Durability; Accessibility
Storage,OCI Storage - Storage Gateway,Documentation for integrating on-premises storage with OCI Object Storage.,https://docs.oracle.com/en-us/iaas/Content/Storage/Tasks/storagegateway.htm,"Hybrid cloud storage, Data migration",Cloud Integration Specialist,v1.2,15-Aug-24 12.00.00.00 AM,Data synchronization; Secure transfer; Caching
Storage,OCI Storage - Data Transfer Service,Guide on using OCI Data Transfer Service for bulk data migration.,https://docs.oracle.com/en-us/iaas/Content/DataTransfer/Concepts/datatransferservice.htm,"Data migration, Bulk transfer",Migration Specialist,v1.0,10-Jul-24 12.00.00.00 AM,High capacity; Secure transfer; Automation
